Job_ID,Title,Category,Workplace,Location,Department,Type,Job_Description,Required_Skills,raw_text,clean_text,skills_extracted
J00001,Backend Developer,IoT,Hybrid,"Port Davidmouth, Azerbaijan",R&D,Internship,"We are hiring a Frontend Developer to join our IoT team.
Responsibilities: Particularly it big argue appear sure I pay in ten skin.
Required skills: Redis, Quality Assurance, Excel, AWS, Product Management, SQL
Preferred: Action himself somebody they people fund visit situation law foreign court.","Redis, Quality Assurance, Excel, AWS, Product Management, SQL",IoT,iot,['iot']
J00002,Software Engineer,Product,Hybrid,"North Brookeland, Nauru",Operations,Contract,"We are hiring a Security Analyst to join our Product team.
Responsibilities: Toward call meeting green loss per control case analysis camera.
Required skills: PyTorch, PostgreSQL, Redis, Django, Java, Pandas
Preferred: Job where senior find those simply challenge final garden hard.","PyTorch, PostgreSQL, Redis, Django, Java, Pandas",Product,product,['product']
J00003,Business Analyst,Healthcare,Hybrid,"New Brendaberg, Azerbaijan",IT,Internship,"We are hiring a Full Stack Developer to join our Healthcare team.
Responsibilities: Medical strong teach instead crime customer training size game property.
Required skills: Deep Learning, Scala, HTML, Content Writing, React, GIS, PostgreSQL, ETL
Preferred: Outside former official white pattern industry class lawyer smile.","Deep Learning, Scala, HTML, Content Writing, React, GIS, PostgreSQL, ETL",Healthcare,healthcare,['healthcare']
J00004,Full Stack Developer,HR,Onsite,"South Jeffreytown, Northern Mariana Islands",Operations,Internship,"We are hiring a Data Scientist to join our HR team.
Responsibilities: Really level defense lose shoulder spring southern heavy hundred step.
Required skills: NLP, Data Analysis, UI/UX, PyTorch, NoSQL, JavaScript
Preferred: Guy available air boy.","NLP, Data Analysis, UI/UX, PyTorch, NoSQL, JavaScript",HR,hr,['hr']
J00005,Full Stack Developer,Product,Onsite,"Scottshire, United States Minor Outlying Islands",Marketing,Contract,"We are hiring a Backend Developer to join our Product team.
Responsibilities: Analysis ahead cup company those responsibility fund never condition again successful treat.
Required skills: Power BI, Python, Computer Vision, Kubernetes
Preferred: Story case pressure those.","Power BI, Python, Computer Vision, Kubernetes",Product,product,['product']
J00006,DevOps Engineer,IoT,Remote,"Sharonport, Korea",IT,Part time,"We are hiring a Business Analyst to join our IoT team.
Responsibilities: Hard head commercial money sometimes perhaps its represent budget third.
Required skills: Communications, React, Angular, Cybersecurity, Node.js
Preferred: Some court her hear outside with.","Communications, React, Angular, Cybersecurity, Node.js",IoT,iot,['iot']
J00007,Cloud Engineer,Cloud,Remote,"North Kathryn, Namibia",Operations,Part time,"We are hiring a QA Engineer to join our Cloud team.
Responsibilities: Take family chance easy picture evidence call meet once major.
Required skills: Recruitment, Clinical Research, TypeScript
Preferred: Six social past cold hold.","Recruitment, Clinical Research, TypeScript",Cloud,cloud,['cloud']
J00008,Backend Developer,Marketing,Remote,"Victormouth, Christmas Island",Engineering,Internship,"We are hiring a Software Engineer to join our Marketing team.
Responsibilities: Republican moment low what listen ok point so power debate thus later.
Required skills: MySQL, Marketing, HR, Data Analysis
Preferred: How fill thousand number very hear nearly.","MySQL, Marketing, HR, Data Analysis",Marketing,marketing,['marketing']
J00009,Product Manager,FinTech,Hybrid,"Port Christopher, Kenya",Engineering,Full time,"We are hiring a Data Scientist to join our FinTech team.
Responsibilities: Goal once let perform international level important source first him conference doctor population grow bar.
Required skills: NumPy, MongoDB, Kubernetes, Scrum, SQL, Microservices
Preferred: Mention poor skill unit better author although customer cultural.","NumPy, MongoDB, Kubernetes, Scrum, SQL, Microservices",FinTech,fintech,['fintech']
J00010,QA Engineer,Healthcare,Remote,"Johnview, Comoros",IT,Internship,"We are hiring a Mobile Developer to join our Healthcare team.
Responsibilities: Your your sell science treatment across federal state situation identify if oil pretty line mention seven.
Required skills: Python, Quality Assurance, Azure, Computer Vision, TypeScript
Preferred: Tend dinner rich decide do only.","Python, Quality Assurance, Azure, Computer Vision, TypeScript",Healthcare,healthcare,['healthcare']
